Ticker,Short Name,GICS Sector,Ranking Model: Long Score,Alpha:M-6,P/E,Live PE Chg,P/B,Live P/BK Chg,P/FCF,Live P/CF Chg,Diluted EPS - 5 Year Average Growth:Y,BEst ROE BF12M,BEst ROA BF12M,Tot Buy,Tot Sell,"5 December, 2012",Closing PX ,WMAVG,,,SMAVG,,,
1109    HK Equity,CHINA RES LAND,Financials,43.37,0.14,14.46,2.21,1.94,-0.15,N.A.,N.A.,42.46,11.94,4.15,30,1,,20.7,20.23072727,20.09145455,20.014,20.106,19.934,19.774,
3988    HK Equity,BANK OF CHINA-H,Financials,43.32,-0.05,5.64,0.06,0.97,-0.06,N.A.,N.A.,20.24,15.52,0.97,26,0,,3.3,3.243272727,3.228727273,3.223090909,3.232,3.22,3.209,
700     HK Equity,TENCENT HOLDINGS,Information Technology,43.27,-0.03,30.68,-2.34,9.81,-0.81,N.A.,N.A.,57.91,33.88,19.82,25,4,,250.2,250.4945455,251.0109091,252.6327273,252.26,253.04,253.72,
119     HK Equity,POLY PROPERTY,Financials,43.26,0.18,6.83,2.43,0.78,-0.03,N.A.,N.A.,52.44,9.23,2.69,14,0,,5.56,5.320727273,5.248545455,5.193454545,5.228,5.163,5.097,
1898    HK Equity,CHINA COAL ENE-H,Energy,43.17,-0.12,9.09,0.14,0.98,-0.05,N.A.,-1.05,14.5,9.93,4.99,20,7,,7.73,7.696,7.693454545,7.727818182,7.726,7.716,7.709,
6       HK Equity,POWER ASSETS HOL,Utilities,43.05,0.13,15.5,-0.37,2.48,-0.15,N.A.,N.A.,6.68,15.44,9.94,10,2,,68,68.08272727,68.10727273,68.21636364,68.17,68.135,68.15,
257     HK Equity,CHINA EVERBR INT,Industrials,42.62,-0.02,17.41,-3.03,2.16,-0.26,N.A.,N.A.,10.57,13.88,6.58,22,2,,3.84,3.779090909,3.770363636,3.759636364,3.799,3.792,3.781,
3311    HK Equity,CHINA STATE CONS,Industrials,42.62,0.17,19.68,-2.95,3.39,-0.51,N.A.,N.A.,22.49,19.65,7,14,2,,9.58,9.622545455,9.623272727,9.650727273,9.606,9.584,9.571,
410     HK Equity,SOHO CHINA LTD,Financials,42.42,0.05,8.83,-2.25,1.12,-0.12,N.A.,N.A.,215.31,14.27,5.87,10,8,,5.86,5.802545455,5.779272727,5.749636364,5.757,5.732,5.697,
691     HK Equity,CHINA SHANSHUI,Materials,42.42,-0.12,7.11,1.2,1.45,-0.03,N.A.,N.A.,60.88,18.4,6.05,19,4,,5.46,5.260545455,5.208181818,5.176181818,5.206,5.172,5.144,
